scrambled,original,text
Zétény,Zétény,"###Human:
Correct this hungarian first name: Zétény

###Assistant:
Zétény"
Zétcny,Zétény,"###Human:
Correct this hungarian first name: Zétcny

###Assistant:
Zétény"
Zctény,Zétény,"###Human:
Correct this hungarian first name: Zctény

###Assistant:
Zétény"
Nímród,Nimród,"###Human:
Correct this hungarian first name: Nímród

###Assistant:
Nimród"
Nimrod,Nimród,"###Human:
Correct this hungarian first name: Nimrod

###Assistant:
Nimród"
Nimröd,Nimród,"###Human:
Correct this hungarian first name: Nimröd

###Assistant:
Nimród"
Nimrőd,Nimród,"###Human:
Correct this hungarian first name: Nimrőd

###Assistant:
Nimród"
Nimród,Nimród,"###Human:
Correct this hungarian first name: Nimród

###Assistant:
Nimród"
Nimróq,Nimród,"###Human:
Correct this hungarian first name: Nimróq

###Assistant:
Nimród"
Nlmród,Nimród,"###Human:
Correct this hungarian first name: Nlmród

###Assistant:
Nimród"
Njmród,Nimród,"###Human:
Correct this hungarian first name: Njmród

###Assistant:
Nimród"
Laszló,László,"###Human:
Correct this hungarian first name: Laszló

###Assistant:
László"
Lászió,László,"###Human:
Correct this hungarian first name: Lászió

###Assistant:
László"
Lászíó,László,"###Human:
Correct this hungarian first name: Lászíó

###Assistant:
László"
Lászlo,László,"###Human:
Correct this hungarian first name: Lászlo

###Assistant:
László"
Lászlö,László,"###Human:
Correct this hungarian first name: Lászlö

###Assistant:
László"
Lászlő,László,"###Human:
Correct this hungarian first name: Lászlő

###Assistant:
László"
László,László,"###Human:
Correct this hungarian first name: László

###Assistant:
László"
Benedek,Benedek,"###Human:
Correct this hungarian first name: Benedek

###Assistant:
Benedek"
Benedék,Benedek,"###Human:
Correct this hungarian first name: Benedék

###Assistant:
Benedek"
Benedck,Benedek,"###Human:
Correct this hungarian first name: Benedck

###Assistant:
Benedek"
Beneqek,Benedek,"###Human:
Correct this hungarian first name: Beneqek

###Assistant:
Benedek"
Benédek,Benedek,"###Human:
Correct this hungarian first name: Benédek

###Assistant:
Benedek"
Bencdek,Benedek,"###Human:
Correct this hungarian first name: Bencdek

###Assistant:
Benedek"
Bénedek,Benedek,"###Human:
Correct this hungarian first name: Bénedek

###Assistant:
Benedek"
Bcnedek,Benedek,"###Human:
Correct this hungarian first name: Bcnedek

###Assistant:
Benedek"
Denedek,Benedek,"###Human:
Correct this hungarian first name: Denedek

###Assistant:
Benedek"
Penedek,Benedek,"###Human:
Correct this hungarian first name: Penedek

###Assistant:
Benedek"
Tamas,Tamás,"###Human:
Correct this hungarian first name: Tamas

###Assistant:
Tamás"
Tamás,Tamás,"###Human:
Correct this hungarian first name: Tamás

###Assistant:
Tamás"
Támás,Tamás,"###Human:
Correct this hungarian first name: Támás

###Assistant:
Tamás"
Gergo,Gergő,"###Human:
Correct this hungarian first name: Gergo

###Assistant:
Gergő"
Gergó,Gergő,"###Human:
Correct this hungarian first name: Gergó

###Assistant:
Gergő"
Gergö,Gergő,"###Human:
Correct this hungarian first name: Gergö

###Assistant:
Gergő"
Gergő,Gergő,"###Human:
Correct this hungarian first name: Gergő

###Assistant:
Gergő"
Gerqő,Gergő,"###Human:
Correct this hungarian first name: Gerqő

###Assistant:
Gergő"
Gérgő,Gergő,"###Human:
Correct this hungarian first name: Gérgő

###Assistant:
Gergő"
Gcrgő,Gergő,"###Human:
Correct this hungarian first name: Gcrgő

###Assistant:
Gergő"
Batrik,Patrik,"###Human:
Correct this hungarian first name: Batrik

###Assistant:
Patrik"
Datrik,Patrik,"###Human:
Correct this hungarian first name: Datrik

###Assistant:
Patrik"
Patrík,Patrik,"###Human:
Correct this hungarian first name: Patrík

###Assistant:
Patrik"
Patrik,Patrik,"###Human:
Correct this hungarian first name: Patrik

###Assistant:
Patrik"
Patrlk,Patrik,"###Human:
Correct this hungarian first name: Patrlk

###Assistant:
Patrik"
Patrjk,Patrik,"###Human:
Correct this hungarian first name: Patrjk

###Assistant:
Patrik"
Pátrik,Patrik,"###Human:
Correct this hungarian first name: Pátrik

###Assistant:
Patrik"
Zente,Zente,"###Human:
Correct this hungarian first name: Zente

###Assistant:
Zente"
Zenté,Zente,"###Human:
Correct this hungarian first name: Zenté

###Assistant:
Zente"
Zentc,Zente,"###Human:
Correct this hungarian first name: Zentc

###Assistant:
Zente"
Zénte,Zente,"###Human:
Correct this hungarian first name: Zénte

###Assistant:
Zente"
Zcnte,Zente,"###Human:
Correct this hungarian first name: Zcnte

###Assistant:
Zente"
Balint,Bálint,"###Human:
Correct this hungarian first name: Balint

###Assistant:
Bálint"
Báiint,Bálint,"###Human:
Correct this hungarian first name: Báiint

###Assistant:
Bálint"
Báíint,Bálint,"###Human:
Correct this hungarian first name: Báíint

###Assistant:
Bálint"
Bálínt,Bálint,"###Human:
Correct this hungarian first name: Bálínt

###Assistant:
Bálint"
Bálint,Bálint,"###Human:
Correct this hungarian first name: Bálint

###Assistant:
Bálint"
Bállnt,Bálint,"###Human:
Correct this hungarian first name: Bállnt

###Assistant:
Bálint"
Báljnt,Bálint,"###Human:
Correct this hungarian first name: Báljnt

###Assistant:
Bálint"
Dálint,Bálint,"###Human:
Correct this hungarian first name: Dálint

###Assistant:
Bálint"
Pálint,Bálint,"###Human:
Correct this hungarian first name: Pálint

###Assistant:
Bálint"
Andras,András,"###Human:
Correct this hungarian first name: Andras

###Assistant:
András"
András,András,"###Human:
Correct this hungarian first name: András

###Assistant:
András"
Anqrás,András,"###Human:
Correct this hungarian first name: Anqrás

###Assistant:
András"
Ándrás,András,"###Human:
Correct this hungarian first name: Ándrás

###Assistant:
András"
Zóltán,Zoltán,"###Human:
Correct this hungarian first name: Zóltán

###Assistant:
Zoltán"
Zöltán,Zoltán,"###Human:
Correct this hungarian first name: Zöltán

###Assistant:
Zoltán"
Zőltán,Zoltán,"###Human:
Correct this hungarian first name: Zőltán

###Assistant:
Zoltán"
Zoitán,Zoltán,"###Human:
Correct this hungarian first name: Zoitán

###Assistant:
Zoltán"
Zoítán,Zoltán,"###Human:
Correct this hungarian first name: Zoítán

###Assistant:
Zoltán"
Zoltan,Zoltán,"###Human:
Correct this hungarian first name: Zoltan

###Assistant:
Zoltán"
Zoltán,Zoltán,"###Human:
Correct this hungarian first name: Zoltán

###Assistant:
Zoltán"
Attíla,Attila,"###Human:
Correct this hungarian first name: Attíla

###Assistant:
Attila"
Attiia,Attila,"###Human:
Correct this hungarian first name: Attiia

###Assistant:
Attila"
Attiía,Attila,"###Human:
Correct this hungarian first name: Attiía

###Assistant:
Attila"
Attila,Attila,"###Human:
Correct this hungarian first name: Attila

###Assistant:
Attila"
Attilá,Attila,"###Human:
Correct this hungarian first name: Attilá

###Assistant:
Attila"
Attlla,Attila,"###Human:
Correct this hungarian first name: Attlla

###Assistant:
Attila"
Attjla,Attila,"###Human:
Correct this hungarian first name: Attjla

###Assistant:
Attila"
Áttila,Attila,"###Human:
Correct this hungarian first name: Áttila

###Assistant:
Attila"
Barnabas,Barnabás,"###Human:
Correct this hungarian first name: Barnabas

###Assistant:
Barnabás"
Barnabás,Barnabás,"###Human:
Correct this hungarian first name: Barnabás

###Assistant:
Barnabás"
Barnaqás,Barnabás,"###Human:
Correct this hungarian first name: Barnaqás

###Assistant:
Barnabás"
Barnábás,Barnabás,"###Human:
Correct this hungarian first name: Barnábás

###Assistant:
Barnabás"
Bárnabás,Barnabás,"###Human:
Correct this hungarian first name: Bárnabás

###Assistant:
Barnabás"
Darnabás,Barnabás,"###Human:
Correct this hungarian first name: Darnabás

###Assistant:
Barnabás"
Parnabás,Barnabás,"###Human:
Correct this hungarian first name: Parnabás

###Assistant:
Barnabás"
Marton,Márton,"###Human:
Correct this hungarian first name: Marton

###Assistant:
Márton"
Mártón,Márton,"###Human:
Correct this hungarian first name: Mártón

###Assistant:
Márton"
Mártön,Márton,"###Human:
Correct this hungarian first name: Mártön

###Assistant:
Márton"
Mártőn,Márton,"###Human:
Correct this hungarian first name: Mártőn

###Assistant:
Márton"
Márton,Márton,"###Human:
Correct this hungarian first name: Márton

###Assistant:
Márton"
Húnor,Hunor,"###Human:
Correct this hungarian first name: Húnor

###Assistant:
Hunor"
Hünor,Hunor,"###Human:
Correct this hungarian first name: Hünor

###Assistant:
Hunor"
Hűnor,Hunor,"###Human:
Correct this hungarian first name: Hűnor

###Assistant:
Hunor"
Hunór,Hunor,"###Human:
Correct this hungarian first name: Hunór

###Assistant:
Hunor"
Hunör,Hunor,"###Human:
Correct this hungarian first name: Hunör

###Assistant:
Hunor"
Hunőr,Hunor,"###Human:
Correct this hungarian first name: Hunőr

###Assistant:
Hunor"
Hunor,Hunor,"###Human:
Correct this hungarian first name: Hunor

###Assistant:
Hunor"
Kórnél,Kornél,"###Human:
Correct this hungarian first name: Kórnél

###Assistant:
Kornél"
Körnél,Kornél,"###Human:
Correct this hungarian first name: Körnél

###Assistant:
Kornél"
Kőrnél,Kornél,"###Human:
Correct this hungarian first name: Kőrnél

###Assistant:
Kornél"
Kornel,Kornél,"###Human:
Correct this hungarian first name: Kornel

###Assistant:
Kornél"
Kornéi,Kornél,"###Human:
Correct this hungarian first name: Kornéi

###Assistant:
Kornél"
Kornéí,Kornél,"###Human:
Correct this hungarian first name: Kornéí

###Assistant:
Kornél"
Kornél,Kornél,"###Human:
Correct this hungarian first name: Kornél

###Assistant:
Kornél"
Korncl,Kornél,"###Human:
Correct this hungarian first name: Korncl

###Assistant:
Kornél"
Martín,Martin,"###Human:
Correct this hungarian first name: Martín

###Assistant:
Martin"
Martin,Martin,"###Human:
Correct this hungarian first name: Martin

###Assistant:
Martin"
Martln,Martin,"###Human:
Correct this hungarian first name: Martln

###Assistant:
Martin"
Martjn,Martin,"###Human:
Correct this hungarian first name: Martjn

###Assistant:
Martin"
Mártin,Martin,"###Human:
Correct this hungarian first name: Mártin

###Assistant:
Martin"
Akos,Ákos,"###Human:
Correct this hungarian first name: Akos

###Assistant:
Ákos"
Ákós,Ákos,"###Human:
Correct this hungarian first name: Ákós

###Assistant:
Ákos"
Ákös,Ákos,"###Human:
Correct this hungarian first name: Ákös

###Assistant:
Ákos"
Ákős,Ákos,"###Human:
Correct this hungarian first name: Ákős

###Assistant:
Ákos"
Ákos,Ákos,"###Human:
Correct this hungarian first name: Ákos

###Assistant:
Ákos"
Gabor,Gábor,"###Human:
Correct this hungarian first name: Gabor

###Assistant:
Gábor"
Gábór,Gábor,"###Human:
Correct this hungarian first name: Gábór

###Assistant:
Gábor"
Gábör,Gábor,"###Human:
Correct this hungarian first name: Gábör

###Assistant:
Gábor"
Gábőr,Gábor,"###Human:
Correct this hungarian first name: Gábőr

###Assistant:
Gábor"
Gábor,Gábor,"###Human:
Correct this hungarian first name: Gábor

###Assistant:
Gábor"
Gáqor,Gábor,"###Human:
Correct this hungarian first name: Gáqor

###Assistant:
Gábor"
Aiex,Alex,"###Human:
Correct this hungarian first name: Aiex

###Assistant:
Alex"
Aíex,Alex,"###Human:
Correct this hungarian first name: Aíex

###Assistant:
Alex"
Alex,Alex,"###Human:
Correct this hungarian first name: Alex

###Assistant:
Alex"
Aléx,Alex,"###Human:
Correct this hungarian first name: Aléx

###Assistant:
Alex"
Alcx,Alex,"###Human:
Correct this hungarian first name: Alcx

###Assistant:
Alex"
Álex,Alex,"###Human:
Correct this hungarian first name: Álex

###Assistant:
Alex"
Ístván,István,"###Human:
Correct this hungarian first name: Ístván

###Assistant:
István"
Istvan,István,"###Human:
Correct this hungarian first name: Istvan

###Assistant:
István"
István,István,"###Human:
Correct this hungarian first name: István

###Assistant:
István"
Jstván,István,"###Human:
Correct this hungarian first name: Jstván

###Assistant:
István"
Vínce,Vince,"###Human:
Correct this hungarian first name: Vínce

###Assistant:
Vince"
Vince,Vince,"###Human:
Correct this hungarian first name: Vince

###Assistant:
Vince"
Vincé,Vince,"###Human:
Correct this hungarian first name: Vincé

###Assistant:
Vince"
Vincc,Vince,"###Human:
Correct this hungarian first name: Vincc

###Assistant:
Vince"
Vinee,Vince,"###Human:
Correct this hungarian first name: Vinee

###Assistant:
Vince"
Vinoe,Vince,"###Human:
Correct this hungarian first name: Vinoe

###Assistant:
Vince"
Vlnce,Vince,"###Human:
Correct this hungarian first name: Vlnce

###Assistant:
Vince"
Vjnce,Vince,"###Human:
Correct this hungarian first name: Vjnce

###Assistant:
Vince"
Úince,Vince,"###Human:
Correct this hungarian first name: Úince

###Assistant:
Vince"
Üince,Vince,"###Human:
Correct this hungarian first name: Üince

###Assistant:
Vince"
Űince,Vince,"###Human:
Correct this hungarian first name: Űince

###Assistant:
Vince"
Uince,Vince,"###Human:
Correct this hungarian first name: Uince

###Assistant:
Vince"
Abel,Ábel,"###Human:
Correct this hungarian first name: Abel

###Assistant:
Ábel"
Ábei,Ábel,"###Human:
Correct this hungarian first name: Ábei

###Assistant:
Ábel"
Ábeí,Ábel,"###Human:
Correct this hungarian first name: Ábeí

###Assistant:
Ábel"
Ábel,Ábel,"###Human:
Correct this hungarian first name: Ábel

###Assistant:
Ábel"
Ábél,Ábel,"###Human:
Correct this hungarian first name: Ábél

###Assistant:
Ábel"
Ábcl,Ábel,"###Human:
Correct this hungarian first name: Ábcl

###Assistant:
Ábel"
Áqel,Ábel,"###Human:
Correct this hungarian first name: Áqel

###Assistant:
Ábel"
Krísztián,Krisztián,"###Human:
Correct this hungarian first name: Krísztián

###Assistant:
Krisztián"
Krisztíán,Krisztián,"###Human:
Correct this hungarian first name: Krisztíán

###Assistant:
Krisztián"
Krisztian,Krisztián,"###Human:
Correct this hungarian first name: Krisztian

###Assistant:
Krisztián"
Krisztián,Krisztián,"###Human:
Correct this hungarian first name: Krisztián

###Assistant:
Krisztián"
Krisztlán,Krisztián,"###Human:
Correct this hungarian first name: Krisztlán

###Assistant:
Krisztián"
Krisztján,Krisztián,"###Human:
Correct this hungarian first name: Krisztján

###Assistant:
Krisztián"
Krlsztián,Krisztián,"###Human:
Correct this hungarian first name: Krlsztián

###Assistant:
Krisztián"
Krjsztián,Krisztián,"###Human:
Correct this hungarian first name: Krjsztián

###Assistant:
Krisztián"
Zsólt,Zsolt,"###Human:
Correct this hungarian first name: Zsólt

###Assistant:
Zsolt"
Zsölt,Zsolt,"###Human:
Correct this hungarian first name: Zsölt

###Assistant:
Zsolt"
Zsőlt,Zsolt,"###Human:
Correct this hungarian first name: Zsőlt

###Assistant:
Zsolt"
